trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
713,False,"{'a': 0.6, 'e': 1.9670750970259793e-06}",30,9,36.84235124357604,"{0: 21, 1: 0, 2: 0, 3: 0, 4: 0}",1
714,False,"{'a': 0.6, 'e': 1.961568941302011e-06}",25,0,38.01788768155135,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
715,False,"{'a': 0.6, 'e': 1.9560858721697884e-06}",25,14,19.27074718819654,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
716,False,"{'a': 0.6, 'e': 1.9506257607440467e-06}",30,19,22.904459105998065,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
717,False,"{'a': 0.6, 'e': 1.9451884790376763e-06}",20,6,27.40807958942176,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
718,False,"{'a': 0.6, 'e': 1.9397738999542215e-06}",20,13,12.615547425943502,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
719,False,"{'a': 0.6, 'e': 1.9343818972804525e-06}",25,10,23.233188616891624,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
720,False,"{'a': 0.6, 'e': 1.9290123456790124e-06}",30,7,35.53456068407797,"{0: 23, 1: 0, 2: 0, 3: 0, 4: 0}",1
721,False,"{'a': 0.6, 'e': 1.9236651206811314e-06}",30,8,40.245720737005676,"{0: 22, 1: 0, 2: 0, 3: 0, 4: 0}",1
722,False,"{'a': 0.6, 'e': 1.9183400986794148e-06}",25,11,23.24869719958491,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
723,False,"{'a': 0.6, 'e': 1.913037156920699e-06}",20,7,22.569129087375522,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
724,False,"{'a': 0.6, 'e': 1.9077561734989773e-06}",20,13,12.802989011483886,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
725,False,"{'a': 0.6, 'e': 1.9024970273483947e-06}",20,11,16.6427373465004,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
726,False,"{'a': 0.6, 'e': 1.8972595982363074e-06}",25,0,31.59261868720157,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
727,False,"{'a': 0.6, 'e': 1.8920437667564127e-06}",20,9,19.21796040701025,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
728,False,"{'a': 0.6, 'e': 1.8868494143219417e-06}",20,0,32.53433272319538,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
729,False,"{'a': 0.6, 'e': 1.8816764231589208e-06}",30,16,29.816425719977314,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
730,False,"{'a': 0.6, 'e': 1.8765246762994934e-06}",25,0,37.706562424752306,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
731,False,"{'a': 0.6, 'e': 1.8713940575753096e-06}",20,12,16.896090716473214,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
732,False,"{'a': 0.6, 'e': 1.8662844516109768e-06}",25,0,41.00653832160071,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
733,False,"{'a': 0.6, 'e': 1.8611957438175731e-06}",20,11,18.37173775655385,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
734,False,"{'a': 0.6, 'e': 1.8561278203862231e-06}",20,6,29.34943074580776,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
