trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
717,False,"{'a': 0.5, 'e': 1.9451884790376763e-06}",20,6,26.003555816536824,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
718,False,"{'a': 0.5, 'e': 1.9397738999542215e-06}",20,12,18.94369145614388,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
719,False,"{'a': 0.5, 'e': 1.9343818972804525e-06}",30,0,45.16810832027491,"{0: 30, 1: 0, 2: 0, 3: 0, 4: 0}",0
720,False,"{'a': 0.5, 'e': 1.9290123456790124e-06}",20,12,13.324470975801502,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
721,False,"{'a': 0.5, 'e': 1.9236651206811314e-06}",25,18,10.041935360000405,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
722,False,"{'a': 0.5, 'e': 1.9183400986794148e-06}",20,6,27.12649970057023,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
723,False,"{'a': 0.5, 'e': 1.913037156920699e-06}",20,13,14.808029972833243,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
724,False,"{'a': 0.5, 'e': 1.9077561734989773e-06}",30,23,13.499723303028833,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
725,False,"{'a': 0.5, 'e': 1.9024970273483947e-06}",20,16,8.081091949910508,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
726,False,"{'a': 0.5, 'e': 1.8972595982363074e-06}",25,3,34.553885190940946,"{0: 22, 1: 0, 2: 0, 3: 0, 4: 0}",1
727,False,"{'a': 0.5, 'e': 1.8920437667564127e-06}",25,14,20.490185561184806,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
728,False,"{'a': 0.5, 'e': 1.8868494143219417e-06}",25,7,31.043027471754993,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
729,False,"{'a': 0.5, 'e': 1.8816764231589208e-06}",25,9,27.96627215297012,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
730,False,"{'a': 0.5, 'e': 1.8765246762994934e-06}",20,8,24.09682844167536,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
731,False,"{'a': 0.5, 'e': 1.8713940575753096e-06}",25,16,18.05498847676565,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
732,False,"{'a': 0.5, 'e': 1.8662844516109768e-06}",20,8,22.10812256644508,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
733,False,"{'a': 0.5, 'e': 1.8611957438175731e-06}",25,17,14.475317166370928,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
734,False,"{'a': 0.5, 'e': 1.8561278203862231e-06}",30,22,13.266229763506491,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
735,False,"{'a': 0.5, 'e': 1.8510805682817346e-06}",30,4,41.74103625374362,"{0: 26, 1: 0, 2: 0, 3: 0, 4: 0}",1
736,False,"{'a': 0.5, 'e': 1.846053875236295e-06}",25,10,28.420797108041423,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
737,False,"{'a': 0.5, 'e': 1.8410476297432292e-06}",25,13,20.76204629165455,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
738,False,"{'a': 0.5, 'e': 1.8360617210508148e-06}",25,6,30.76311971794493,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 0}",1
739,False,"{'a': 0.5, 'e': 1.8310960391561578e-06}",25,0,33.03604284756264,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
740,False,"{'a': 0.5, 'e': 1.8261504747991234e-06}",20,9,22.42183516928888,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
741,False,"{'a': 0.5, 'e': 1.8212249194563279e-06}",35,18,27.794257082509198,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
742,False,"{'a': 0.5, 'e': 1.8163192653351836e-06}",20,8,23.35451311949493,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
743,False,"{'a': 0.5, 'e': 1.8114334053680018e-06}",25,14,20.610034160810986,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
744,False,"{'a': 0.5, 'e': 1.806567233206151e-06}",20,10,17.17653698896978,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
745,False,"{'a': 0.5, 'e': 1.8017206432142695e-06}",20,10,18.91659877385805,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
746,False,"{'a': 0.5, 'e': 1.796893530464533e-06}",25,14,19.6430419409914,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
747,False,"{'a': 0.5, 'e': 1.7920857907309738e-06}",20,8,22.222533797087834,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
748,False,"{'a': 0.5, 'e': 1.787297320483857e-06}",25,14,22.959040060521538,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
749,False,"{'a': 0.5, 'e': 1.7825280168841053e-06}",25,11,25.33238292287569,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
750,False,"{'a': 0.5, 'e': 1.7777777777777777e-06}",25,15,17.708757394300736,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
751,False,"{'a': 0.5, 'e': 1.7730465016905998e-06}",25,13,23.322871094186628,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
752,False,"{'a': 0.5, 'e': 1.7683340878225441e-06}",20,7,25.32053579760684,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
753,False,"{'a': 0.5, 'e': 1.7636404360424614e-06}",30,22,16.699293259518022,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
754,False,"{'a': 0.5, 'e': 1.7589654468827615e-06}",30,16,25.209127262212654,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
755,False,"{'a': 0.5, 'e': 1.7543090215341433e-06}",25,14,18.94401534541406,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
